sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,height_weight_ratio,weight_height_ratio,arm_span,arm_span_ratio,leg_length,leg_length_ratio,torso_length,torso_length_ratio,size_category,build_category,proportions_category,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_height_weight_ratio,weighted_weight_height_ratio,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,weighted_size_category,weighted_build_category,weighted_proportions_category,cluster
basketball,205.74,99.9716768,23.61780352885504,Center,Izan Almansa,"6'9.25""",220.4 lbs,"7'1.75""",9.25,9.5,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.05798288660894,0.4859126898026635,,,,,,,4.0,3.0,1.0,205.74,99.9716768,35.42670529328256,4.11596577321788,0.7288690347039952,,,,4.0,3.0,1.0,0
basketball,198.12,99.0644928,25.23837457931326,PG-SG,Adou Thiero,"6'6.25""",218.4 lbs,"7'0.00""",9.0,10.25,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.999909295452427,0.5000226771653543,,,,,,,4.0,4.0,1.0,198.12,99.0644928,37.85756186896989,3.999818590904854,0.7500340157480314,,,,4.0,4.0,1.0,0
basketball,193.04,86.3639168,23.17595892809514,PG-SG,Tre Johnson,"6'4.75""",190.4 lbs,"6'10.25""",8.5,8.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.2351927419762414,0.44738871114794865,,,,,,,3.0,2.0,2.0,193.04,86.3639168,34.76393839214271,4.470385483952483,0.671083066721923,,,,3.0,2.0,2.0,0
basketball,193.04,98.7016192,26.486810203537306,Shooting Guard,Sion James,"6'4.50""",217.6 lbs,"6'6.50""",8.25,9.25,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.9557936492292114,0.5113013841690841,,,,,,,3.0,4.0,1.0,193.04,98.7016192,39.73021530530596,3.911587298458423,0.7669520762536262,,,,3.0,4.0,1.0,0
basketball,193.04,93.0770784,24.977451533850438,PG-SG,Kasparas Jakucionis,"6'4.75""",205.2 lbs,"6'7.75""",8.5,9.75,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.0739800100988126,0.48216472440944885,,,,,,,3.0,4.0,1.0,193.04,93.0770784,37.466177300775655,4.147960020197625,0.7232470866141733,,,,3.0,4.0,1.0,0
basketball,195.58,87.7246928,22.93363902632679,Shooting Guard,Ben Henshall,"6'5.50""",193.4 lbs,"6'6.50""",8.0,8.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.229474891931454,0.4485361120768995,,,,,,,4.0,2.0,2.0,195.58,87.7246928,34.40045853949019,4.458949783862908,0.6728041681153492,,,,4.0,2.0,2.0,0
basketball,187.96,85.9103248,24.317251600171566,Shooting Guard,PJ Haggerty,"6'2.25""",189.4 lbs,"6'6.50""",8.5,9.5,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.187862756165485,0.4570670610768248,,,,,,,3.0,3.0,2.0,187.96,85.9103248,36.475877400257346,4.37572551233097,0.6856005916152372,,,,3.0,3.0,2.0,0
basketball,198.12,101.0149384,25.735283968924282,Small Forward,Hugo González,"6'6.25""",222.7 lbs,"6'10.75""",10.25,9.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.961294073313022,0.5098674459923279,,,,,,,4.0,4.0,1.0,198.12,101.0149384,38.602925953386425,3.922588146626044,0.7648011689884919,,,,4.0,4.0,1.0,0
basketball,213.36,114.9402128,25.249105180750043,Center,Vladislav Goldin,"7'0.00""",253.4 lbs,"7'5.25""",9.5,11.75,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.85626940130391,0.5387149081364829,,,,,,,4.0,4.0,1.0,213.36,114.9402128,37.87365777112507,3.71253880260782,0.8080723622047243,,,,4.0,4.0,1.0,0
basketball,203.2,105.4147808,25.53019328538657,SF-PF,Rasheer Fleming,"6'8.25""",232.4 lbs,"7'5.25""",9.5,9.5,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.9276234173035436,0.5187735275590551,,,,,,,4.0,4.0,1.0,203.2,105.4147808,38.29528992807985,3.855246834607087,0.7781602913385828,,,,4.0,4.0,1.0,0
basketball,187.96,78.1992608,22.134604941233256,Point Guard,Boogie Fland,"6'2.00""",172.4 lbs,"6'6.00""",8.5,9.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.4036032831655616,0.4160420344754203,,,,,,,3.0,2.0,3.0,187.96,78.1992608,33.20190741184989,4.807206566331123,0.6240630517131305,,,,3.0,2.0,3.0,0
basketball,200.66,100.243832,24.8963708310368,SF-PF,Cooper Flagg,"6'7.75""",221.0 lbs,"7'0.00""",8.75,9.75,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.0017191681179947,0.49957057709558456,,,,,,,4.0,4.0,1.0,200.66,100.243832,37.3445562465552,4.003438336235989,0.7493558656433769,,,,4.0,4.0,1.0,0
basketball,187.96,81.4651232,23.059019996783597,PG-SG,Jeremiah Fears,"6'2.50""",179.6 lbs,"6'5.25""",8.25,9.25,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.307245022370506,0.43341733985954456,,,,,,,3.0,2.0,3.0,187.96,81.4651232,34.58852999517539,4.614490044741012,0.6501260097893169,,,,3.0,2.0,3.0,0
basketball,208.28,92.532768,21.33046954969579,Power Forward,Noa Essengue,"6'10.00""",204.0 lbs,"7'1.00""",8.97,10.62,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.2508783050778294,0.444271019781064,,,,,,,4.0,1.0,2.0,208.28,92.532768,31.99570432454368,4.501756610155659,0.666406529671596,,,,4.0,1.0,2.0,0
basketball,193.04,87.6339744,23.516781853508306,PG-SG,VJ Edgecombe,"6'4.00""",193.2 lbs,"6'7.50""",8.5,9.5,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.202798644266441,0.45396795690012437,,,,,,,3.0,3.0,2.0,193.04,87.6339744,35.27517278026246,4.405597288532882,0.6809519353501865,,,,3.0,3.0,2.0,0
basketball,193.04,96.7058144,25.95123132074519,PG-SG,Dylan Harper,"6'4.50""",213.2 lbs,"6'10.50""",9.25,9.25,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.9961571204140545,0.5009625694156651,,,,,,,3.0,4.0,1.0,193.04,96.7058144,38.926846981117784,3.992314240828109,0.7514438541234976,,,,3.0,4.0,1.0,0
basketball,203.2,90.3555264,21.88302281604563,PG-SG,Egor Demin,"6'8.25""",199.2 lbs,"6'10.25""",8.25,9.25,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.248893986854134,0.4446630236220473,,,,,,,4.0,1.0,2.0,203.2,90.3555264,32.824534224068444,4.497787973708268,0.666994535433071,,,,4.0,1.0,2.0,0
basketball,195.58,96.615096,25.257834087940054,PG-SG,Cedric Coward,"6'5.25""",213.0 lbs,"7'2.25""",9.25,10.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.0243213338006725,0.49399271909193165,,,,,,,4.0,4.0,1.0,195.58,96.615096,37.88675113191008,4.048642667601345,0.7409890786378974,,,,4.0,4.0,1.0,0
basketball,210.82,100.6067056,22.63618893328656,SF-PF,Alex Condon,"6'11.25""",221.8 lbs,"7'0.75""",9.25,9.75,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.0954865656589,0.4772161350915473,,,,,,,4.0,2.0,1.0,210.82,100.6067056,33.95428339992984,4.1909731313178,0.7158242026373209,,,,4.0,2.0,1.0,0
basketball,195.58,91.625584,23.953438900299957,PG-SG,Nique Clifford,"6'5.25""",202.0 lbs,"6'8.00""",8.25,8.5,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.1345566539581347,0.46848135801206664,,,,,,,4.0,3.0,2.0,195.58,91.625584,35.930158350449936,4.269113307916269,0.7027220370181,,,,4.0,3.0,2.0,0
basketball,187.96,90.264808,25.54980500757203,PG-SG,Walter Clayton Jr.,"6'2.00""",199.0 lbs,"6'4.00""",8.25,9.75,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.082317618179612,0.48023413492232386,,,,,,,3.0,4.0,1.0,187.96,90.264808,38.32470751135804,4.164635236359224,0.7203512023834858,,,,3.0,4.0,1.0,0
basketball,193.04,82.46302560000001,22.129145657183283,Shooting Guard,Miles Byrd,"6'4.75""",181.8 lbs,"6'10.00""",8.75,9.25,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.340927932190739,0.4271810277662661,,,,,,,3.0,2.0,3.0,193.04,82.46302560000001,33.19371848577492,4.681855864381478,0.6407715416493991,,,,3.0,2.0,3.0,0
basketball,198.12,97.4315616,24.822357415917985,SF-PF,Carter Bryant,"6'6.50""",214.8 lbs,"6'11.75""",8.5,9.5,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.0334273283371043,0.49178054512416713,,,,,,,4.0,3.0,1.0,198.12,97.4315616,37.23353612387697,4.0668546566742085,0.7376708176862508,,,,4.0,3.0,1.0,0
basketball,205.74,113.1258448,26.725409256335965,SF-PF,Johni Broome,"6'9.25""",249.4 lbs,"7'0.25""",9.25,10.25,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.818682550956738,0.5498485700398561,,,,,,,4.0,4.0,1.0,205.74,113.1258448,40.08811388450395,3.637365101913476,0.8247728550597841,,,,4.0,4.0,1.0,0
basketball,195.58,91.5348656,23.929722624161048,Shooting Guard,Koby Brea,"6'5.75""",201.8 lbs,"6'5.25""",8.5,9.25,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.136672170959084,0.46801751508334183,,,,,,,4.0,3.0,2.0,195.58,91.5348656,35.894583936241574,4.273344341918168,0.7020262726250127,,,,4.0,3.0,2.0,0
basketball,210.82,106.5034016,23.962926787807415,Center,Joan Beringer,"6'11.00""",234.8 lbs,"7'4.50""",9.75,10.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.9794672924324699,0.505186422540556,,,,,,,4.0,3.0,1.0,210.82,106.5034016,35.94439018171112,3.9589345848649398,0.757779633810834,,,,4.0,3.0,1.0,0
basketball,190.5,86.8175088,23.923094715522765,Shooting Guard,Tamar Bates,"6'3.75""",191.4 lbs,"6'10.25""",9.75,9.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.1942578476750763,0.45573495433070865,,,,,,,3.0,3.0,2.0,190.5,86.8175088,35.88464207328415,4.3885156953501525,0.6836024314960629,,,,3.0,3.0,2.0,0
basketball,200.66,91.9884576,22.846081468480833,SF-PF,Ace Bailey,"6'7.50""",202.8 lbs,"7'0.50""",8.5,9.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.1813606319234555,0.45842947074653645,,,,,,,4.0,2.0,2.0,200.66,91.9884576,34.26912220272125,4.362721263846911,0.6876442061198047,,,,4.0,2.0,2.0,0
basketball,200.66,89.7204976,22.282815160086333,Small Forward,Neoklis Avdalas,"6'7.50""",197.8 lbs,"6'9.00""",8.25,9.75,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,2.2365011939033206,0.44712696900229243,,,,,,,4.0,2.0,2.0,200.66,89.7204976,33.4242227401295,4.473002387806641,0.6706904535034386,,,,4.0,2.0,2.0,0
basketball,200.66,117.2988912,29.132133470163428,Power Forward,Eric Dixon,"6'7.50""",258.6 lbs,"6'11.50""",8.75,10.0,basketball.csv,2025-09-13T21:48:26.820026,,,,,,,1.7106726069376519,0.5845653902122995,,,,,,,4.0,4.0,1.0,200.66,117.2988912,43.69820020524514,3.4213452138753038,0.8768480853184493,,,,4.0,4.0,1.0,0
basketball_test_missing,208.28,99.79024,23.003447553593496,PF,Test Player 5,"6'10.00""",220.0 lbs,,8.802121212121213,10.0,basketball_test_missing.csv,2025-09-13T21:48:26.823027,,,,,,,2.0871780647085325,0.4791158056462454,,,,,,,4.0,2.0,1.0,208.28,99.79024,34.50517133039024,4.174356129417065,0.7186737084693681,,,,4.0,2.0,1.0,0
basketball_test_missing,203.2,,,SF,Test Player 3,"6'8.00""",,"6'11.00""",9.0,9.511212121212122,basketball_test_missing.csv,2025-09-13T21:48:26.823027,,,,,,,,,,,,,,,4.0,,,203.2,,,,,,,,4.0,,,0
basketball_test_missing,187.96,81.64656,23.110376388758617,PG,Test Player 1,"6'2.00""",180.0 lbs,,8.25,9.511212121212122,basketball_test_missing.csv,2025-09-13T21:48:26.823027,,,,,,,2.3021178112096825,0.434382634603107,,,,,,,3.0,2.0,3.0,187.96,81.64656,34.66556458313792,4.604235622419365,0.6515739519046605,,,,3.0,2.0,3.0,0
basketball_test_missing,,113.398,,C,Test Player 2,,250.0 lbs,"7'2.00""",8.802121212121213,9.5,basketball_test_missing.csv,2025-09-13T21:48:26.823027,,,,,,,,,,,,,,,,,,,113.398,,,,,,,,,,0
distance_running,165.0,52.0,19.100091827364558,DISTANCE RUNNER,Ruth Chepngetich 2,165 cm,52 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.173076923076923,0.3151515151515151,,,,,,,1.0,1.0,4.0,165.0,52.0,28.650137741046837,6.346153846153846,0.47272727272727266,,,,1.0,1.0,4.0,1
distance_running,170.0,54.0,18.68512110726644,DISTANCE RUNNER,Paula Radcliffe 2,170 cm,54 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.1481481481481484,0.3176470588235294,,,,,,,1.0,1.0,4.0,170.0,54.0,28.02768166089966,6.296296296296297,0.4764705882352941,,,,1.0,1.0,4.0,1
distance_running,170.0,57.0,19.723183391003463,DISTANCE RUNNER,Geoffrey Kamworor,170 cm,57 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.982456140350877,0.3352941176470588,,,,,,,1.0,1.0,4.0,170.0,57.0,29.584775086505196,5.964912280701754,0.5029411764705882,,,,1.0,1.0,4.0,1
distance_running,170.0,62.0,21.453287197231838,DISTANCE RUNNER,Bernard Lagat,170 cm,62 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.7419354838709675,0.36470588235294116,,,,,,,1.0,1.0,4.0,170.0,62.0,32.17993079584775,5.483870967741935,0.5470588235294117,,,,1.0,1.0,4.0,1
distance_running,168.0,,,DISTANCE RUNNER,Abel Kirui,168 cm,,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,1.0,,,168.0,,,,,,,,1.0,,,0
distance_running,157.0,47.0,19.067710657633167,DISTANCE RUNNER,Yuki Kawauchi,157 cm,47 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,3.3404255319148937,0.29936305732484075,,,,,,,1.0,1.0,4.0,157.0,47.0,28.60156598644975,6.680851063829787,0.44904458598726116,,,,1.0,1.0,4.0,1
distance_running,164.0,48.0,17.846519928613922,DISTANCE RUNNER,Catherine Ndereba,164 cm,48 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.4166666666666665,0.2926829268292683,,,,,,,1.0,1.0,4.0,164.0,48.0,26.769779892920884,6.833333333333333,0.4390243902439024,,,,1.0,1.0,4.0,1
distance_running,157.0,47.0,19.067710657633167,DISTANCE RUNNER,Deena Kastor,157 cm,47 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3404255319148937,0.29936305732484075,,,,,,,1.0,1.0,4.0,157.0,47.0,28.60156598644975,6.680851063829787,0.44904458598726116,,,,1.0,1.0,4.0,1
distance_running,178.0,63.0,19.883853048857468,DISTANCE RUNNER,Galen Rupp,178 cm,63 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.8253968253968256,0.3539325842696629,,,,,,,2.0,1.0,4.0,178.0,63.0,29.8257795732862,5.650793650793651,0.5308988764044944,,,,2.0,1.0,4.0,1
distance_running,165.0,52.0,19.100091827364558,DISTANCE RUNNER,Ruth Chepngetich,165 cm,52 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.173076923076923,0.3151515151515151,,,,,,,1.0,1.0,4.0,165.0,52.0,28.650137741046837,6.346153846153846,0.47272727272727266,,,,1.0,1.0,4.0,1
distance_running,158.0,47.0,18.82711103989745,DISTANCE RUNNER,Mary Keitany,158 cm,47 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3617021276595747,0.2974683544303797,,,,,,,1.0,1.0,4.0,158.0,47.0,28.240666559846176,6.723404255319149,0.44620253164556956,,,,1.0,1.0,4.0,1
distance_running,160.0,50.0,19.531249999999996,DISTANCE RUNNER,Kiplimo Jacob,160 cm,50 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,3.2,0.3125,,,,,,,1.0,1.0,4.0,160.0,50.0,29.296874999999993,6.4,0.46875,,,,1.0,1.0,4.0,1
distance_running,165.0,56.0,20.569329660238754,DISTANCE RUNNER,Kenenisa Bekele,165 cm,56 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.9464285714285716,0.3393939393939394,,,,,,,1.0,1.0,4.0,165.0,56.0,30.853994490358133,5.892857142857143,0.5090909090909091,,,,1.0,1.0,4.0,1
distance_running,176.0,61.0,19.692665289256198,DISTANCE RUNNER,Kelvin Kiptum,176 cm,61 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.8852459016393444,0.3465909090909091,,,,,,,2.0,1.0,4.0,176.0,61.0,29.538997933884296,5.770491803278689,0.5198863636363636,,,,2.0,1.0,4.0,1
distance_running,160.0,48.0,18.749999999999996,DISTANCE RUNNER,Brigid Kosgei,160 cm,48 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3333333333333335,0.3,,,,,,,1.0,1.0,4.0,160.0,48.0,28.124999999999993,6.666666666666667,0.44999999999999996,,,,1.0,1.0,4.0,1
distance_running,170.0,54.0,18.68512110726644,DISTANCE RUNNER,Paula Radcliffe,170 cm,54 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.1481481481481484,0.3176470588235294,,,,,,,1.0,1.0,4.0,170.0,54.0,28.02768166089966,6.296296296296297,0.4764705882352941,,,,1.0,1.0,4.0,1
distance_running,165.0,56.0,20.569329660238754,DISTANCE RUNNER,Haile Gebrselassie,165 cm,56 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.9464285714285716,0.3393939393939394,,,,,,,1.0,1.0,4.0,165.0,56.0,30.853994490358133,5.892857142857143,0.5090909090909091,,,,1.0,1.0,4.0,1
distance_running,167.0,52.0,18.645344042454013,DISTANCE RUNNER,Eliud Kipchoge,167 cm,52 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,3.2115384615384617,0.31137724550898205,,,,,,,1.0,1.0,4.0,167.0,52.0,27.96801606368102,6.423076923076923,0.46706586826347307,,,,1.0,1.0,4.0,1
distance_running,172.0,60.0,20.281233098972418,DISTANCE RUNNER,Wilson Kipsang,172 cm,60 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.8666666666666667,0.3488372093023256,,,,,,,2.0,1.0,4.0,172.0,60.0,30.421849648458625,5.733333333333333,0.5232558139534884,,,,2.0,1.0,4.0,1
distance_running,168.0,54.0,19.13265306122449,DISTANCE RUNNER,Dennis Kimetto,168 cm,54 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,3.111111111111111,0.32142857142857145,,,,,,,1.0,1.0,4.0,168.0,54.0,28.69897959183674,6.222222222222222,0.4821428571428572,,,,1.0,1.0,4.0,1
distance_running,160.0,45.0,17.578124999999996,DISTANCE RUNNER,Yalemzerf Yehualaw,160 cm,45 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.5555555555555554,0.28125,,,,,,,1.0,1.0,4.0,160.0,45.0,26.367187499999993,7.111111111111111,0.421875,,,,1.0,1.0,4.0,1
distance_running,165.0,50.0,18.36547291092746,DISTANCE RUNNER,Sifan Hassan,165 cm,50 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3,0.30303030303030304,,,,,,,1.0,1.0,4.0,165.0,50.0,27.548209366391188,6.6,0.4545454545454546,,,,1.0,1.0,4.0,1
distance_running,168.0,,,DISTANCE RUNNER,Muktar Edris,168 cm,,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,1.0,,,168.0,,,,,,,,1.0,,,0
distance_running,175.0,63.0,20.571428571428573,DISTANCE RUNNER,Mo Farah,175 cm,63 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.7777777777777777,0.36,,,,,,,2.0,1.0,4.0,175.0,63.0,30.85714285714286,5.555555555555555,0.54,,,,2.0,1.0,4.0,1
gymnastics,170.0,,,GYMNAST,Sam Mikulak,170 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,170.0,,,,,,,,1.0,,,0
gymnastics,170.0,,,GYMNAST,Yul Moldauer,170 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,170.0,,,,,,,,1.0,,,0
gymnastics,170.0,,,GYMNAST,David Belyavskiy,170 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,170.0,,,,,,,,1.0,,,0
gymnastics,169.0,,,GYMNAST,Epke Zonderland,169 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,169.0,,,,,,,,1.0,,,0
gymnastics,168.0,,,GYMNAST,Diego Hypólito,168 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,168.0,,,,,,,,1.0,,,0
gymnastics,160.0,,,GYMNAST,Morgan Hurd,160 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,1.0,,,160.0,,,,,,,,1.0,,,0
gymnastics,164.0,,,GYMNAST,Sanne Wevers,164 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,1.0,,,164.0,,,,,,,,1.0,,,0
gymnastics,165.0,,,GYMNAST,Giulia Steingruber,165 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,1.0,,,165.0,,,,,,,,1.0,,,0
gymnastics,163.0,,,GYMNAST,Aly Raisman,163 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,1.0,,,163.0,,,,,,,,1.0,,,0
gymnastics,160.0,,,GYMNAST,Oksana Chusovitina,160 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,1.0,,,160.0,,,,,,,,1.0,,,0
gymnastics,165.0,,,GYMNAST,Giarnni Regini-Moran,165 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,165.0,,,,,,,,1.0,,,0
gymnastics,164.0,,,GYMNAST,Oleg Verniaiev,164 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,164.0,,,,,,,,1.0,,,0
